"Life expectancy and other elements of the complete life table, single-year estimates, Canada, all provinces except Prince Edward Island 1 2 3 4"
"Frequency: Annual"
"Table: 13-10-0837-01"
"Release date: 2026-01-13"
"Geography: Canada, Province or territory"
""
""

"Geography 5","Canada"
"Sex","Both sexes"
"Element","Number of deaths between age x and x+1 (dx) 6"
"Age group","2024"
,"Number"
"0 years","454"
"1 year","23"
"2 years","17"
"3 years","14"
"4 years","11"
"5 years","10"
"6 years","9"
"7 years","8"
"8 years","8"
"9 years","8"
"10 years","8"
"11 years","9"
"12 years","10"
"13 years","12"
"14 years","16"
"15 years","21"
"16 years","28"
"17 years","34"
"18 years","39"
"19 years","43"
"20 years","47"
"21 years","50"
"22 years","53"
"23 years","56"
"24 years","58"
"25 years","61"
"26 years","64"
"27 years","67"
"28 years","71"
"29 years","76"
"30 years","81"
"31 years","87"
"32 years","93"
"33 years","98"
"34 years","102"
"35 years","106"
"36 years","109"
"37 years","113"
"38 years","118"
"39 years","123"
"40 years","129"
"41 years","136"
"42 years","144"
"43 years","152"
"44 years","161"
"45 years","171"
"46 years","182"
"47 years","195"
"48 years","209"
"49 years","224"
"50 years","240"
"51 years","259"
"52 years","279"
"53 years","301"
"54 years","325"
"55 years","351"
"56 years","379"
"57 years","411"
"58 years","444"
"59 years","481"
"60 years","522"
"61 years","566"
"62 years","614"
"63 years","667"
"64 years","724"
"65 years","786"
"66 years","855"
"67 years","929"
"68 years","1,009"
"69 years","1,097"
"70 years","1,192"
"71 years","1,295"
"72 years","1,406"
"73 years","1,526"
"74 years","1,655"
"75 years","1,793"
"76 years","1,940"
"77 years","2,096"
"78 years","2,260"
"79 years","2,432"
"80 years","2,610"
"81 years","2,792"
"82 years","2,977"
"83 years","3,160"
"84 years","3,339"
"85 years","3,508"
"86 years","3,661"
"87 years","3,793"
"88 years","3,894"
"89 years","3,958"
"90 years","3,975"
"91 years","3,928"
"92 years","3,800"
"93 years","3,594"
"94 years","3,318"
"95 years","3,002"
"96 years","2,622"
"97 years","2,224"
"98 years","1,829"
"99 years","1,455"
"100 years","1,118"
"101 years","828"
"102 years","590"
"103 years","405"
"104 years","267"
"105 years","169"
"106 years","103"
"107 years","60"
"108 years","34"
"109 years","18"
"110 years and over","18"




Footnotes:
1,"Three-year complete life tables are also available in table 13-10-0114 for Canada and all provinces, except Prince Edward Island. For Prince Edward Island and the territories, three-year abridged life tables can be found in table 13-10-0140."
2,"Population estimates are final intercensal up to 2021 and updated postcensal from 2022 to April 2025. For more details, please refer to the document Methods for Constructing Life Tables for Canada, Provinces and Territories (Statistics Canada catalogue number 84-538)."
3,"Life tables for the years 2023 and 2024 are considered “preliminary”. These tables will be updated at a later time to take into account deaths that could have occurred but have not yet been recorded (late registrations)."
4,"The single-year life tables are well suited for granular analysis of temporal variations and to single out the most recent trends. However, three-year life tables provide more robust estimates of mortality indicators and time series that are less prone volatility on a short-term horizon (see table 13-10-0114). For these reasons, three-year life tables may be better suited for comparisons between regions or analysis of long-term mortality trends, particularly in less populated provinces."
5,"Complete life tables (by single years of age) are available for Canada as a whole and for nine provinces: Newfoundland and Labrador, Nova Scotia, New Brunswick, Quebec, Ontario, Manitoba, Saskatchewan, Alberta and British Columbia. For Prince Edward Island, Yukon, the Northwest Territories and Nunavut, abridged life tables (by 5-year age groups) were computed. The population sizes of this province and the three territories were too small to allow the calculation of complete life tables with accuracy. The abridged life tables can be found in table 13-10-0140."
6,"Number of deaths which occur at each age, among the initial cohort of 100,000 live births at age 0."



"How to cite: Statistics Canada. Table 13-10-0837-01  Life expectancy and other elements of the complete life table, single-year estimates, Canada, all provinces except Prince Edward Island"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310083701
